Country,Population 2010 (thousands),GDP 2013 ($m)
Andorra,77.9,3249.1
United Arab Emirates,8441.5,402340.1
Afghanistan,28397.8,21618.3
Antigua and Barbuda,87.2,1240.9
Anguilla,13.8,284.4
Albania,3150.1,12903.9
Armenia,2963.5,10431.2
Angola,19549.1,121692.3
Antarctica,0.0,0.0
Argentina,40374.2,611726.4
American Samoa,55.6,
Austria,8401.9,428321.9
Australia,22404.5,1531282.1
Aruba,101.6,2588.8
Azerbaijan,9094.7,73556.6
Bosnia and Herzegovina,3845.9,17851.9
Barbados,280.4,4228.1
Bangladesh,151125.5,153504.9
Belgium,10941.3,524805.5
Burkina Faso,15540.3,12547.3
Bulgaria,7389.2,54481.1
Bahrain,1251.5,32897.8
Burundi,9232.8,2548.9
Benin,9509.8,8307.2
Bermuda,65.0,5573.7
Brunei,400.6,16111.1
Bolivia,10156.6,30601.1
Brazil,195210.2,2243854.4
Bahamas,360.5,8420.4
Bhutan,716.9,1781.3
Botswana,1969.3,14778.3
Belarus,9491.1,71709.5
Belize,308.6,1624.3
Canada,34126.2,1838964.2
Democratic Republic of the Congo,62191.2,32690.8
Central African Republic,4349.9,1585.3
Republic of the Congo,4111.7,14021.6
Switzerland,7830.5,685434.2
Ivory Coast,18976.6,28593.2
Cook Islands,20.3,330.1
Chile,17150.8,277043.4
Cameroon,20624.3,29567.5
China,1359821.5,9181203.8
Colombia,46444.8,378147.8
Costa Rica,4669.7,49621.1
Cuba,11281.8,78694.0
Cape Verde,487.6,1861.3
Curacao,147.6,3148.3
Cyprus,1103.7,21912.7
Czech Republic,10553.7,208796.0
Germany,83017.4,3730260.6
Djibouti,834.0,1455.8
Denmark,5551.0,336701.0
Dominica,71.2,497.9
Dominican Republic,10016.8,60612.4
Algeria,37062.8,208764.1
Ecuador,15001.1,94472.7
Estonia,1298.5,24880.3
Egypt,78075.7,255199.0
Western Sahara,514.6,
Eritrea,5741.2,3437.6
Spain,46182.0,1358262.7
Ethiopia,87095.3,46017.4
Finland,5367.7,267328.6
Fiji,860.6,4033.9
Falkland Islands,3.0,
Micronesia,497.6,333.0
Faeroe Islands,49.6,
France,63230.9,2806432.0
Gabon,1556.2,16970.1
United Kingdom,62066.4,2678454.9
Grenada,104.7,830.5
Georgia,4388.7,16127.1
French Guiana,231.2,
Ghana,24262.9,47829.6
Gibraltar,29.3,
Greenland,56.5,2418.4
Gambia,1680.6,901.9
Guinea,10876.0,7218.5
Guadeloupe,458.6,
Equatorial Guinea,696.2,18531.5
Greece,11110.0,241720.7
Guatemala,14341.6,53796.6
Guam,159.4,
Guinea-Bissau,1586.6,1036.4
Guyana,786.1,2990.1
Hong Kong,7049.5,274026.9
Honduras,7621.2,18569.1
Croatia,4338.0,57869.0
Haiti,9896.4,7691.3
Hungary,10014.6,129988.7
Indonesia,240676.5,868345.6
Ireland,4467.6,232077.1
Israel,7420.4,291566.8
Isle of Man,84.0,
India,1205624.6,1937797.0
Iraq,30962.4,195516.7
Iran,74462.3,492783.5
Iceland,318.0,15330.1
Italy,60509.0,2149484.5
Jamaica,2741.5,14269.8
Jordan,6454.6,33593.8
Japan,127352.8,4898532.5
Kenya,40909.2,44099.6
Kyrgyzstan,5334.2,7226.3
Cambodia,14364.9,15249.7
Kiribati,97.7,174.5
Comoros,683.1,622.0
Saint Kitts and Nevis,52.4,743.0
North Korea,24500.5,15454.3
South Korea,48453.9,1304553.9
Kuwait,2991.6,175831.2
Cayman Islands,55.5,3473.8
Kazakhstan,15921.1,224414.8
Laos,6395.7,10759.6
Lebanon,4341.1,47220.6
Saint Lucia,177.4,1335.8
Liechtenstein,36.1,5647.1
Sri Lanka,20758.8,67203.3
Liberia,3958.0,1946.0
Lesotho,2008.9,2229.9
Lithuania,3068.5,46403.0
Luxembourg,507.9,60130.8
Latvia,2090.5,30952.9
Libya,6040.6,74596.9
Morocco,31642.4,103835.7
Monaco,36.8,6559.0
Moldova,3573.0,7969.6
Montenegro,620.1,4417.5
Madagascar,21079.5,10611.6
Marshall Islands,52.4,188.7
