FULLNAME,POPULATION1950,POPULATION1951,POPULATION1952,POPULATION1953,POPULATION1954,POPULATION1955,POPULATION1956,POPULATION1957,POPULATION1958,POPULATION1959,POPULATION1960,POPULATION1961,POPULATION1962,POPULATION1963,POPULATION1964,POPULATION1965,POPULATION1966,POPULATION1967,POPULATION1968,POPULATION1969,POPULATION1970,POPULATION1971,POPULATION1972,POPULATION1973,POPULATION1974,POPULATION1975,POPULATION1976,POPULATION1977,POPULATION1978,POPULATION1979,POPULATION1980,POPULATION1981,POPULATION1982,POPULATION1983,POPULATION1984,POPULATION1985,POPULATION1986,POPULATION1987,POPULATION1988,POPULATION1989,POPULATION1990,POPULATION1991,POPULATION1992,POPULATION1993,POPULATION1994,POPULATION1995,POPULATION1996,POPULATION1997,POPULATION1998,POPULATION1999,POPULATION2000,POPULATION2001,POPULATION2002,POPULATION2003,POPULATION2004,POPULATION2005,POPULATION2006,POPULATION2007,POPULATION2008,POPULATION2009,POPULATION2010,GDP1970,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,NAME
Andorra,6.197,6.692,7.25,7.863,8.526,9.235,9.987,10.781,11.616,12.494,13.414,14.376,15.376,16.41,17.47,18.551,19.646,20.755,21.888,23.061,24.279,25.56,26.892,28.231,29.514,30.706,31.781,32.769,33.746,34.819,36.063,37.502,39.112,40.862,42.704,44.597,46.515,48.458,50.431,52.449,54.511,56.674,58.904,61.003,62.707,63.854,64.274,64.09,63.799,64.084,65.399,68,71.639,75.643,79.06,81.223,81.877,81.292,79.969,78.659,77.907,97.20794939,110.5482903,140.2329608,186.5106254,230.6715839,272.1620449,281.0291342,314.0599656,380.8567196,508.8653967,551.9305782,480.9642541,464.8057822,405.3753008,408.1240588,428.7357941,595.9719329,755.8518856,892.0187234,983.595561,1272.310412,1368.63297,1496.114662,1245.233609,1258.159282,1457.478388,1513.463352,1459.828633,1498.539806,1533.020281,1401.712578,1484.004617,1717.563538,2373.836223,2916.913449,3248.134607,3536.451631,4010.785102,4001.349332,3649.863494,3346.31732,3427.235691,3146.177735,3249.100667,AD
United Arab Emirates,69.59,67.65,69.222,72.342,75.607,78.182,79.821,80.841,82.049,84.598,89.608,97.727,108.774,121.574,134.411,146.341,156.89,167.36,180.762,201.157,231.529,272.211,322.439,382.599,452.848,532.742,623.45,723.617,827.191,926.112,1014.825,1090.66,1155.765,1215.38,1277.3,1347.218,1426.915,1514.798,1609.17,1707.085,1806.498,1908.002,2012.977,2121.143,2232.159,2346.305,2470.81,2608.993,2753.498,2893.648,3026.352,3132.104,3223.969,3369.254,3658.658,4148.883,4875.639,5797.347,6798.635,7718.319,8441.537,1053.499258,1443.43503,2173.209891,4212.630836,11617.14444,14720.73122,19213.21168,24871.99694,23775.72159,31225.56105,43599.13791,49333.4761,46622.71925,42803.37704,41807.93501,40603.63453,33943.57136,36384.8054,36275.61696,41464.96982,50701.37849,51552.06263,54239.19335,55625.27421,59305.11626,65743.61055,73571.22363,78836.20913,75674.39063,84445.40651,104337.4726,103311.6406,109816.2015,124346.3581,147824.25,180617.468,222116.533,257916.1932,315474.6157,253547.4472,286049.2852,347454.0504,372313.9551,402340.0953,AE
Afghanistan,7450.738,7547.158,7651.002,7762.538,7882.009,8009.614,8145.52,8289.858,8442.73,8604.222,8774.44,8953.544,9141.783,9339.507,9547.131,9765.015,9990.125,10221.902,10465.77,10729.191,11015.621,11323.446,11644.377,11966.352,12273.589,12551.79,12806.81,13034.46,13199.597,13257.128,13180.431,12963.788,12634.494,12241.928,11854.205,11528.977,11262.439,11063.107,11013.345,11215.323,11731.193,12612.043,13811.876,15175.325,16485.018,17586.073,18415.307,19021.226,19496.836,19987.071,20595.36,21347.782,22202.806,23116.142,24018.682,24860.855,25631.282,26349.243,27032.197,27708.187,28397.812,1748.886597,1831.108982,1595.555482,1733.333275,2155.5555,2366.666613,2555.555571,2953.333408,3300.000103,3697.940356,3641.723443,3478.787916,3438.884594,3399.439011,3360.445864,3321.900002,3320.599991,2887.499993,2664.299991,3342.200002,3621.600007,3340.100005,3474.600007,2664.399992,2114.6,3236.3,3124.359411,3016.290743,2911.960069,2719.992175,3531.869351,3620.52525,4285.170218,4935.549827,5586.984096,6621.833827,7514.261673,10380.12521,10768.48057,12572.59811,16077.92104,19170.46766,21330.88285,21618.31254,AF
Antigua and Barbuda,46.301,48.306,49.887,51.092,51.979,52.611,53.062,53.411,53.744,54.143,54.681,55.403,56.311,57.368,58.5,59.653,60.818,62.002,63.176,64.307,65.369,66.338,67.205,67.972,68.655,69.253,69.782,70.223,70.508,70.553,70.301,69.75,68.95,67.958,66.863,65.744,64.605,63.484,62.538,61.967,61.906,62.412,63.434,64.868,66.55,68.349,70.245,72.232,74.206,76.041,77.648,78.972,80.03,80.904,81.718,82.565,83.467,84.397,85.349,86.3,87.233,37.18012248,45.18381995,61.92564675,86.02911094,91.70416618,93.77593872,77.94942118,88.73349,100.4586319,123.7101844,147.6076137,166.9839078,185.0187659,205.5874474,232.6645759,268.7342926,318.864243,321.6961626,383.1041096,434.3270819,448.0395359,483.4136933,501.6969656,537.7222867,590.6325652,582.585657,638.4506941,684.3150104,731.752867,769.299277,783.837037,773.7666667,802.5296296,839.9962963,898.3555556,997.3740741,1135.144444,1289.255556,1347.348148,1206.411111,1135.540741,1127.1,1193.996296,1240.862963,AG
Anguilla,5.121,5.297,5.438,5.549,5.635,5.697,5.743,5.777,5.805,5.831,5.863,5.901,5.948,6.001,6.057,6.114,6.171,6.228,6.287,6.344,6.4,6.454,6.506,6.554,6.596,6.63,6.661,6.691,6.712,6.715,6.698,6.652,6.587,6.537,6.551,6.662,6.883,7.198,7.576,7.966,8.334,8.668,8.979,9.266,9.54,9.807,10.063,10.305,10.545,10.797,11.071,11.371,11.693,12.023,12.342,12.637,12.903,13.145,13.365,13.571,13.768,3.909608367,4.598380436,5.426780869,6.140366429,6.762192599,7.385101747,7.071893243,7.904068889,9.120067407,10.52363556,12.1449837,14.01437667,16.17236852,18.66366333,21.66604889,26.96601778,35.1294837,43.81578667,54.84429519,68.25209815,75.7418,77.86405407,84.60684593,92.27168556,102.9602215,103.9286285,109.7442226,122.9001363,138.8943074,147.5739137,150.2370333,154.9276074,157.628263,170.7065037,201.1041778,228.9952556,283.4769296,355.2773259,354.7263815,282.609037,268.1706963,293.4485563,284.9488804,284.3731626,AI
Albania,1214.489,1243.181,1275.597,1311.197,1349.51,1390.137,1432.752,1477.097,1522.982,1570.267,1618.829,1668.531,1719.181,1770.53,1822.299,1874.302,1926.382,1978.582,2031.167,2084.532,2138.966,2194.588,2251.32,2309.029,2367.499,2426.592,2486.256,2546.617,2607.936,2670.572,2734.776,2799.345,2863.902,2930.351,3001.325,3077.93,3162.225,3251.512,3336.434,3404.408,3446.882,3459.763,3446.858,3417.28,3384.367,3357.858,3341.043,3331.317,3325.456,3317.941,3304.948,3286.084,3263.596,3239.385,3216.197,3196.13,3179.573,3166.222,3156.608,3151.185,3150.143,2328.618262,2395.434952,2464.239235,2535.176692,2607.609989,2682.738446,2760.478358,2837.566022,2921.364166,2438.316641,2201.435108,2277.121842,2343.879242,2369.53336,2339.060236,2389.092853,2463.787438,2444.369681,2528.862258,3022.410284,2206.071699,1641.195514,1557.75538,1747.92268,1933.289543,2459.34518,3288.674216,2306.132765,2695.09951,3397.817206,3610.798178,4033.552988,4407.882582,5650.647957,7249.270627,8094.011548,8921.505399,10616.36254,12881.35206,12044.21039,11926.94828,12890.87355,12344.52745,12903.85813,AL
Armenia,1353.506,1382.982,1419.913,1463.017,1511.188,1563.508,1619.242,1677.837,1738.902,1802.171,1867.396,1934.239,2002.17,2070.427,2138.133,2204.65,2269.475,2332.624,2394.635,2456.37,2518.408,2580.894,2643.464,2705.584,2766.495,2825.65,2882.831,2938.181,2991.954,3044.564,3096.298,3145.885,3192.877,3239.212,3287.588,3339.147,3396.511,3457.054,3510.439,3542.72,3544.695,3511.912,3449.497,3369.673,3289.943,3223.173,3173.425,3137.652,3112.958,3093.82,3076.098,3059.96,3047.002,3036.032,3025.652,3014.917,3002.911,2989.882,2977.488,2968.154,2963.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159.657135,1970.92948,1174.107502,1096.131922,1179.094518,1286.635324,1596.963106,1638.670199,1892.169969,1845.476426,1911.563703,2118.39859,2376.321756,2807.095698,3576.608903,4900.469734,6384.452551,9206.300095,11662.0407,8647.937091,9260.285762,10142.11181,9957.891306,10431.21583,AM
Angola,4147.509,4219.637,4297.156,4377.899,4460.252,4543.15,4626.105,4709.184,4792.925,4878.231,4965.988,5056.688,5150.076,5245.015,5339.893,5433.841,5526.653,5619.643,5715.372,5817.283,5928.087,6049.214,6180.863,6323.057,6475.333,6637.628,6808.733,6989.55,7184.444,7399.204,7637.141,7901.87,8190.093,8489.864,8784.753,9063.646,9320.678,9561.022,9798.055,10051.133,10333.844,10652.727,11002.758,11372.156,11743.432,12104.952,12451.945,12791.388,13137.542,13510.616,13924.93,14385.283,14886.574,15421.075,15976.715,16544.376,17122.409,17712.824,18314.441,18926.65,19549.124,2864.617813,3015.133844,3105.037313,3793.654562,4250.696503,3130.848225,2994.865507,3275.620028,3643.291664,4044.387994,5389.874992,5044.497627,5044.497627,5257.037569,5572.525904,6865.432181,6442.977472,7419.212514,8009.893709,9321.010763,10296.87813,12167.55498,13974.3878,10126.358,10421.53071,4994.12852,6525.802063,7648.377413,6445.041825,6088.257948,8858.473258,9471.498333,11431.73669,13956.26814,19775.22783,32810.65548,41789.49319,60448.88758,84178.08414,75492.41652,82513.00324,104115.9315,115337.1302,121692.2754,AO
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AQ
Argentina,17150.335,17506.714,17865.9,18224.511,18580.079,18931.045,19276.796,19617.627,19954.635,20289.515,20623.998,20959.241,21295.29,21630.854,21963.952,22293.817,22618.887,22941.477,23269.302,23612.675,23978.532,24370.66,24785.83,25215.328,25646.533,26070.443,26483.835,26889.764,27293.093,27701.412,28120.135,28550.123,28989.069,29435.404,29886.564,30340.419,30796.481,31254.574,31713.147,32170.407,32624.874,33075.194,33520.803,33961.947,34399.343,34833.168,35264.07,35690.778,36109.342,36514.558,36903.067,37273.361,37627.545,37970.411,38308.779,38647.854,38988.923,39331.357,39676.083,40023.641,40374.224,37537.58243,44906.00812,41871.36429,45803.42232,52616.50645,57148.45313,60278.34935,68105.49472,70538.71342,81720.63592,90386.08036,93471.02731,96131.74896,104036.9569,109888.7003,105516.4512,126729.0423,130246.4334,151887.3806,91725.78929,169199.5059,227081.5105,273847.5521,283394.8006,308461.1028,308940.9507,325872.7982,350726.9346,358019.7015,339546.289,340361.4933,321790.3569,122143.8007,155125.9547,183295.6543,222910.8372,264737.9356,331865.4548,408345.5504,380454.2625,464616.3216,560381.5347,604996.3546,611726.3772,AR
